courseID,courseName,description,syllabus,school
MGMT0001,Principles of Management,"Organizations emerge because individuals can't (or don't want to) accomplish their goals alone. Management is the art and science of helping individuals achieve their goals together. Managers in an organization determine where their organization is going and how it gets there. More formally, managers formulate strategies and implement those strategies. This 0.5 credit unit course provides a framework for understanding the opportunities and challenges involved in formulating and implementing strategies. We examine multiple aspects of how managers address their environments, strategy, structure, culture, tasks, people, and outputs, and how managerial decisions made in these various domains interrelate. The course will help you begin to understand and analyze how managers can formulate and implement strategies effectively. Please note that this 0.5 CU course does not fulfil the Wharton MGMT 1010 requirement",https://apps.wharton.upenn.edu/syllabi/?course=MGMT0001,University of Pennsylvania
MGMT0004,"Work, Power, and Inequal","From the immigrant shirtwaist sewers' strike of 1909 to the 2021 union declaration by engineers Google, MGMT004 examines imbalances of power in the workplace and responses to perceived abuses of employer power. We investigate, via an exploration of government regulations and an examination of movements like #MeToo, how government and firm-level human capital policies shape workforce inequalities of race and gender. Throughout the course, we compare the United States with other countries to assess how national institutions influence both productivity and profitability (for firms) and fairness and stability (for workers).",https://apps.wharton.upenn.edu/syllabi/?course=MGMT0004,University of Pennsylvania
MGMT 1010,Intro To Management,"We all spend much of our lives in organizations. Most of us are born in organizations, educated in organizations, and work in organizations. Organizations emerge because individuals can't (or don't want to) accomplish their goals alone. Management is the art and science of helping individuals achieve their goals together. Managers in an organization determine where their organization is going and how it gets there. More formally, managers formulate strategies and implement those strategies. This course provides a framework for understanding the opportunities and challenges involved in formulating and implementing strategies by taking a ""system"" view of organizations,which means that we examine multiple aspects of how managers address their environments, strategy, structure, culture, tasks, people, and outputs, and how managerial decisions made in these various domains interrelate. The course will help you to understand and analyze how managers can formulate and implement strategies effectively. It will be particularly valuable if you are interested in management consulting, investment analysis, or entrepreneurship - but it will help you to better understand and be a more effective contributor to any organizations you join, whether they are large, established firms or startups. This course must be taken for a grade.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT1010,University of Pennsylvania
MGMT1110,Multinational Management,"Most successful firms go global in some way; why do they go global, and how do they navigate across international borders? This is the question at the core of multinational management. In this course, you will learn about topics such as how firms choose where and how to invest abroad, how shifts in the political economy landscape affect firm strategy, and how firms respond to restrictions on the movement of both physical and human capital across borders. The class utilizes economics and global strategy frameworks to provide students with an understanding of how to formulate multinational firm strategy. Fulfills the Global Economy, Business, and Society requirement. This course has a mandatory attendance policy.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT1110,University of Pennsylvania
MGMT1170,Glob Grwth of Emerg Firm,"Emerging firms are a critical element of economic growth, and a key source of gains in innovation and social welfare. This course is designed to depart from the U.S.-centric conversation on startups - with its outsized focus on Silicon Valley - and train a critical eye on some of the unique innovations emerging from new regional hotspots across the globe, with a particular focus on developing and emerging economies. We will discuss the challenges faced by founders in different global contexts, the components of a robust institutional ecosystem, and the ways in which creative solutions may flourish in response to local problems. Along the way, students will gain a virtual view into global startup communities, and personalized insights from firm founders operating around the world - from Bogota to Nairobi to Jakarta. The course will be structured in three primary parts. The first and longest section will discuss the Key Challenges for emerging firm growth across the globe, such as access to talent and resources, political risk, and legal institutions. The second section will highlight particularly active areas of Context-Driven Innovation that are thriving in various regions, such as financial technology, mobile health products, and clean energy. The final section will train Regional Spotlights on different geographic areas in turn, so that we may focus on the challenges and opportunities specific to various parts of the world.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT1170,University of Pennsylvania
MGMT2050,Multinatl Corp Strateg,"This course focuses on the creation of competitive advantage in the multinational firm. It examines the nature of global competition by exploring the characteristics of global versus non-global industries and firms. We also explore different types of international strategy and structure and examine the specific challenges of managing in multiple countries and markets. Finally, we consider the strategic allocation of resources along the value chain and the role of strategic alliances as a crucial element of an effective global strategy.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2050,University of Pennsylvania
MGMT2080,Mnging Glob & Anti-Glob,"Managing Globalization and Anti-Globalization provides students with a solid foundation in the economic history of globalization and anti-globalization, the institutions that manage the global economy, and the current challenges these institutions are facing. Students in this class will develop their own worldview about the powerful forces shaping today's international political economy and build a solid foundation for understanding the future of organizational strategy. The first half of the course focuses on the historical trajectory of globalization and learning about the institutions that seek to manage it. The second half of the course explores how institutions manage present-day global governance challenges ranging from global migration, the rise of populist anti-globalization movements, the collapse of communism, and global inequality, to disruptive technologies such as bitcoin. Format: Lectures and discussion structured to encourage maximum student participation. Requirements: midterm and final exam, a final course paper of 10-20 pages and short reaction papers dealing with the readings for the week. Supplemental activities include map quizzes, small group projects, and current events analysis.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2080,University of Pennsylvania
MGMT2090,Pol & Soc Environ of Mm,"The share of executives, board members, and investment managers who consider climate risk, racial justice and other ESG issues as well as stakeholder’s opinions of the firm to be material to their business decisions has risen dramatically. If this business case for engagement with stakeholders on ESG issues can be demonstrated to mainstream investors, pools of capital can be mobilized to harness grand societal challenges. However, executives, board members, and investment managers are actually growing less confident in the ESG data available to guide capital allocations and strategic decisions. ESG scores have been demonstrated to be unreliable, incomplete and biased and often lean on outdated and/or incomplete information obtained through voluntary unaudited disclosure. This course provides students the latest tools to assess and map stakeholder opinions as well as integrate them into financial valuation. It also offers behavioral skills critical for stakeholder engagement including trust building, strategic communications and shaping organizational culture. In short, it prepares students to engage in Corporate Diplomacy (i.e., to influence external stakeholders’ opinions of the acceptability of a company’s operations at a moment in time and to convince internal stakeholders to adapt their behaviors, systems and outputs` when necessary to support an organizational mission).",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2090,University of Pennsylvania
MGMT2110,Competitive Strategy,"This is an advanced course in competitive strategy. The course will apply the tools of industrial organization economics and game theory to examine the strategic decisions that managers make. We will examine those decisions concerning pricing, capacity investment, advertising, new product introductions, and research and development. Emphasis will be placed on the strategic interaction among rival sellers. In particular we will look at the various methods of entry deterrence and strategic commitment. The course will attempt to integrate traditional economic models with case study materials. In addition to prerequisites, some knowledge of microeconomics is suggested. The course will be discussion oriented and based largely on case materials and mini-lectures.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2110,University of Pennsylvania
MGMT2120,Social Entrepreneurship,"This is a course on creating a business to attack a social problem and thereby accomplish both social impact and financial sustainability. For this course, social entrepreneurship is defined as entrepreneurship used to profitably confront social problems. This definition therefore views social entrepreneurship as a distinct alternative to public sector initiatives. The basic thesis is that many social problems, if looked at through an entrepreneurial lens, create opportunity for someone to launch a venture that generates profits by alleviating that social problem. This sets in motion a virtuous cycle - the entrepreneur is incented to generate more profits and in so doing, the more the profits made, the more the problem is alleviated. Even if it is not possible to eventually create a profit-making enterprise, the process of striving to do so can lead to a resource-lean not-for-profit entity. Creating a profitable social entrepreneurship venture is by no means a simple challenge. Cross-listed with MGMT 812.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT2120,University of Pennsylvania
